meter_code,type,fab,fab_group,meter_name,wisdom_batch_id
DB_MP145(FAB2)NLP-1,照明插座,Fab2,Fab12,照明,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-11,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP442(FAB2)PC1,空調用電,Fab2,Fab12,空調水泵,20220519095229_02e064cd16a944128c90118f8081c77e
資訊機房（1#）*80,基礎用電,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP431(FAB2)CH1,空調用電,Fab2,Fab12,1號冰機,20220519095229_02e064cd16a944128c90118f8081c77e
MP551,MIS用電,Fab2,Fab12,MIS,20220519095229_02e064cd16a944128c90118f8081c77e
K,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP232,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP283,真空排氣,Fab2,Fab12,排氣,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-FFU2-1（TR1ZAP1),空調用電,Fab3,Fab3,FFU（2F無塵室）,20220519095229_02e064cd16a944128c90118f8081c77e
MP533,空調用電,Fab2,Fab12,空調水泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP542,基礎用電,Fab2,Fab12,電梯,20220519095229_02e064cd16a944128c90118f8081c77e
冰機三,空調用電,Fab1,Fab12,冰機3,20220519095229_02e064cd16a944128c90118f8081c77e
RACP1-7 (TR 5）樓頂MAU,空調用電,Fab3,Fab3,冷卻水塔,20220519095229_02e064cd16a944128c90118f8081c77e
3DPE-1,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP253,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
純水二期,純水用電,Fab1,Fab12,純水,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-FFU1-1（TR1ZAP1),空調用電,Fab3,Fab3,FFU（1F無塵室）,20220519095229_02e064cd16a944128c90118f8081c77e
2ATR2,製程用電,Fab1,Fab12,A棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP231(FAB2)ZK,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
