fab,factory,date,line,wisdom_batch_id
Fab1,F62,2020/3/14,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2020/11/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2020/11/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2020/5/19,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2019/11/1,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2022/1/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,�M�M,2019/10/31,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2019/4/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2021/1/4,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2020/2/17,4,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2020/9/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2020/2/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2020/4/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2019/12/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2019/1/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2021/12/17,0.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2020/3/30,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2020/10/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2020/6/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2019/2/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2022/1/18,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2020/5/28,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2020/9/17,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2021/6/24,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2020/9/9,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2019/10/31,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2021/11/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2019/12/22,8,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,�M�M,2020/10/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2020/10/30,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2021/9/2,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2021/12/1,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2019/11/26,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2019/8/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2020/2/3,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2019/1/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,�M�M,2021/8/9,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2021/1/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2021/1/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2019/3/4,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2022/1/17,0.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2021/10/30,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2019/9/21,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2021/3/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,�M�M,2022/1/3,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2020/3/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2019/8/3,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2019/10/19,2,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2019/5/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2020/10/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
