meter,type,fab,fab_group,meter_name
DB_MP283(FAB2)RF-BXH,真空排氣,Fab2,Fab12,排氣
DB_MP281(FAB2)2F-EPDP-MP1,空調用電,Fab2,Fab12,2F FFU
DB_MP531(FAB2)CDA4,空壓用電,Fab2,Fab12,Fab2棟4#
MP444,空壓用電,Fab2,Fab12,Fab2棟1#
MP331,空調用電,Fab2,Fab12,MAU
MP23,空壓用電,Fab1,Fab12,Fab2棟5#.6#
DB_MP134(FAB2)PF,基礎用電,Fab2,Fab12,消防
MP548,純水用電,Fab2,Fab12,純水
MP541,照明插座,Fab2,Fab12,照明
ZP1-8,製程用電,Fab3,Fab3,製程用電
DB_MP254(FAB2)2F-TDB-19,製程用電,Fab2,Fab12,Fab2棟設備
MP365,照明插座,Fab2,Fab12,照明
ZP1-2,製程用電,Fab3,Fab3,1F無塵室設備
TR6,高壓變壓器,Fab2,Fab12,高壓變壓器
DB_MP356(FAB2)3F-TDB-21,製程用電,Fab2,Fab12,3F脫泡室
MP133,製程用電,Fab2,Fab12,1F設備
MP343,製程用電,Fab2,Fab12,3F設備
CR-MP12,製程用電,Fab1,Fab12,A棟設備
ACP3-1 (TR3)不良品倉AHU,空調用電,Fab3,Fab3,AHU
DB_MP332(FAB2)CR7,製程用電,Fab2,Fab12,Fab2棟設備
ACP1-1-2(4#)1F MAU機房,空調用電,Fab3,Fab3,None
DB_MP465(FAB2)BATTERY,基礎用電,Fab2,Fab12,電池
TR－3,高壓變壓器,Fab1,Fab12,高壓變壓器
UPS-FFU3-1（TR1ZAP1),空調用電,Fab3,Fab3,FFU（3F無塵室）
TR5,高壓變壓器,Fab2,Fab12,高壓變壓器
F2Fab21-TDFab2-9,製程用電,Fab3,Fab3,3F車間設備
DB_MP364(FAB2)3F-PDP-MP2,空調用電,Fab2,Fab12,3F空調
DB_MP131(FAB2)1F-TDB-MP1,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP251(FAB2)2F-TDB-23,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP161(FAB2)B1BQ1,基礎用電,Fab2,Fab12,潛伏泵
MP344,製程用電,Fab2,Fab12,3F設備
DB_MP267(FAB2)MP26-ML22,照明插座,Fab2,Fab12,照明
LP1-3,照明插座,Fab3,Fab3,照明
DB_MP466(FAB2)UPS,基礎用電,Fab2,Fab12,UPS
UPSZP3-4,製程用電,Fab3,Fab3,無塵室設備
FFU3-2（1號變壓器）維修室FFU,空調用電,Fab3,Fab3,FFU
研磨,純水用電,Fab1,Fab12,純水回收水
TR7,高壓變壓器,Fab2,Fab12,高壓變壓器
1A Fab2US1,製程用電,Fab1,Fab12,A棟設備
ZP1-20,製程用電,Fab3,Fab3,1F無塵室設備
MP22,空壓用電,Fab1,Fab12,A棟4#
ZP1-24,製程用電,Fab3,Fab3,1F無塵室設備
MP122,製程用電,Fab2,Fab12,1F設備
ACP1-1-1(2#)1F MAU機房,空調用電,Fab3,Fab3,MAU1~3
MP451（3冰機),空調用電,Fab3,Fab3,冰機3#
MP146,QE用電,Fab2,Fab12,RA試驗室
DB_MP146(FAB2)RA,QE用電,Fab2,Fab12,RA試驗室
MP546,基礎用電,Fab2,Fab12,電梯
MP265,基礎用電,Fab2,Fab12,電梯
FFU,空調用電,Fab1,Fab12,A棟設備
MP546(風冷熱泵),空調用電,Fab3,Fab3,風冷熱泵
CAD-5 (TR3)樓頂 吸幹機,空壓用電,Fab3,Fab3,吸乾機
MP531,空壓用電,Fab2,Fab12,Fab2棟4#
DB_MP132(FAB2)1F-TDB-11,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP544(FAB2)ME31,基礎用電,Fab2,Fab12,消防
MP258,製程用電,Fab2,Fab12,設備備用
生活排汙泵,基礎用電,Fab1,Fab12,排汙泵
MP141,製程用電,Fab2,Fab12,1F設備
DB_MP143(FAB2)1F PANEL_1_2,製程用電,Fab2,Fab12,Fab2棟設備
TR-CR2,製程用電,Fab2,Fab12,Fab2棟設備
LP1-2,照明插座,Fab3,Fab3,照明
1FAT01,製程用電,Fab1,Fab12,A棟設備
MP381,光伏用電,Fab2,Fab12,光伏
MP311（空壓4#）,空壓用電,Fab3,Fab3,空壓機4#
DB_MP461(FAB2)DIW,純水用電,Fab2,Fab12,純水3
TR－2,高壓變壓器,Fab1,Fab12,高壓變壓器
MP261,製程用電,Fab2,Fab12,風淋門/烘乾機
UPS-LP1-2（TR1ZAP1),照明插座,Fab3,Fab3,應急照明
1A TO3,製程用電,Fab1,Fab12,A棟設備
餐廳新增（1#）,基礎用電,Fab3,Fab3,None
MP355,製程用電,Fab2,Fab12,3F設備
DB_MP121(FAB2)1F-TDB-07,製程用電,Fab2,Fab12,Fab2棟設備
UPSZP3-2,製程用電,Fab3,Fab3,無塵室設備
XL-1（1F一期無塵室）,空調用電,Fab1,Fab12,1F無塵室
MP165,純水用電,Fab2,Fab12,純水
UPSZP3-3,製程用電,Fab3,Fab3,無塵室設備
MP136,製程用電,Fab2,Fab12,TR-CR4
MP545（3F維修區設備）,製程用電,Fab3,Fab3,3F無塵室設備
MP257,製程用電,Fab2,Fab12,2F設備
MP544（風冷熱泵),空調用電,Fab3,Fab3,風冷熱泵
UPS-FFU3-2,空調用電,Fab3,Fab3,3F車間FFU
